"Standard Report - Imports"
"Current date: 06/27/2026 11:28 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)","Quantity 1 (Gen)","Customs Unit Value (Gen)",
"8541 Semicon Dev;photosens;led;mount Piezoelec Crys;pts","Taiwan","2022","846,067,629","",""
"8541 Semicon Dev;photosens;led;mount Piezoelec Crys;pts","Taiwan","2023","1,120,813,345","",""
"8541 Semicon Dev;photosens;led;mount Piezoelec Crys;pts","Taiwan","2024","681,799,041","",""
"8541 Semicon Dev;photosens;led;mount Piezoelec Crys;pts","Taiwan","2025","670,794,475","",""
"8542 Electronic Integrated Circuits & Microassembl, Pts","Taiwan","2022","8,043,880,397","",""
"8542 Electronic Integrated Circuits & Microassembl, Pts","Taiwan","2023","7,285,565,225","",""
"8542 Electronic Integrated Circuits & Microassembl, Pts","Taiwan","2024","11,320,430,126","",""
"8542 Electronic Integrated Circuits & Microassembl, Pts","Taiwan","2025","12,940,830,287","",""
"8543 Electrical Mach Etc, With Ind Functions Nesoi, Pts","Taiwan","2022","924,285,130","",""
"8543 Electrical Mach Etc, With Ind Functions Nesoi, Pts","Taiwan","2023","593,923,664","",""
"8543 Electrical Mach Etc, With Ind Functions Nesoi, Pts","Taiwan","2024","503,993,500","",""
"8543 Electrical Mach Etc, With Ind Functions Nesoi, Pts","Taiwan","2025","566,001,697","",""
